Id,squarefootage,Bathroom,Bedroom,SalePrice
1,856,2,3,208500
2,1262,2,3,181500
3,920,2,3,223500
4,961,1,3,140000
5,1145,2,4,250000
6,796,1,1,143000
7,1694,2,3,307000
8,1107,2,3,200000
9,1022,2,2,129900
10,1077,1,2,118000
11,1040,1,3,129500
12,1182,3,4,345000
13,912,1,2,144000
14,1494,2,3,279500
15,1253,1,2,157000
16,854,1,2,132000
17,1004,1,2,149000
18,1296,2,2,90000
19,1114,1,3,159000
20,1339,1,3,139000
21,1158,3,4,325300
22,1108,1,3,139400
23,1795,2,3,230000
24,1060,1,3,129900
25,1060,1,3,154000
26,1600,2,3,256300
27,900,1,3,134800
28,1704,2,3,306000
29,1600,1,2,207500
30,520,1,1,68500
31,649,1,3,40000
32,1228,1,3,149350
33,1234,2,3,179900
34,1700,1,4,165500
35,1561,2,2,277500
36,1132,3,4,309000
37,1097,1,3,145000
38,1297,1,3,153000
39,1057,1,3,109000
40,1152,2,2,82000
41,1324,2,3,160000
42,1328,1,2,170000
43,884,1,2,144000
44,938,1,3,130250
45,1150,1,3,141000
46,1752,2,2,319900
47,1518,1,1,239686
48,1656,2,3,249700
49,736,2,2,113000
50,955,1,3,127000
51,794,2,3,177000
52,816,1,3,114500
53,816,1,2,110000
54,1842,0,0,385000
55,1360,1,3,130000
56,1425,2,3,180500
57,983,2,3,172500
58,860,2,3,196500
59,1426,3,3,438780
60,780,1,2,124900
61,1158,1,3,158000
62,581,1,3,101000
63,1370,2,2,202500
64,902,2,3,140000
65,1057,2,3,219500
66,1143,2,4,317000
67,2207,2,3,180000
68,1479,2,3,226000
69,747,1,2,80000
70,1304,2,3,225000
71,2223,2,3,244000
72,845,1,2,129500
73,885,2,3,185000
74,1086,1,3,144900
75,840,2,3,107400
76,526,1,2,91000
77,952,1,2,135750
78,1072,1,2,127000
79,1768,2,4,136500
80,682,1,2,110000
81,1182,2,4,193500
82,1337,2,2,153500
83,1563,2,3,245000
84,1065,1,3,126500
85,804,2,3,168500
86,1301,2,4,260000
87,684,2,3,174000
88,612,2,2,164500
89,1013,1,2,85000
90,990,1,3,123600
91,1040,1,2,109900
92,1235,1,2,98600
93,964,1,2,163500
94,1260,2,4,133900
95,905,2,3,204750
96,680,2,3,185000
97,1588,2,3,214000
98,960,1,3,94750
99,835,1,2,83000
100,1225,1,3,128950
101,1610,2,3,205000
102,977,2,3,178000
103,1535,2,4,118964
104,1226,2,3,198900
105,1226,1,4,169500
106,1053,2,3,250000
107,1047,1,2,100000
108,789,1,2,115000
109,997,2,3,115000
110,1844,2,3,190000
111,1216,2,4,136900
112,774,2,3,180000
113,1282,2,4,383970
114,2259,2,3,217000
115,1436,2,3,259500
116,729,2,2,176000
117,1092,1,3,139000
118,1125,1,2,155000
119,1699,3,5,320000
120,728,2,3,163990
121,988,1,1,180000
122,772,1,3,100000
123,1080,1,3,136000
124,1199,2,2,153900
125,1586,2,3,181000
126,520,1,2,84500
127,958,2,2,128000
128,840,1,3,87000
129,660,1,3,155000
130,1053,1,3,150000
131,1216,2,4,226000
132,1022,2,3,244000
133,1327,1,3,150750
134,1296,2,2,220000
135,1721,2,3,180000
136,1682,2,3,174000
137,1214,2,3,143000
138,1959,3,5,171000
139,1004,2,3,230000
140,928,2,3,231500
141,864,1,3,115000
142,1734,2,3,260000
143,910,2,4,166000
144,1501,2,3,204000
145,1728,2,6,125000
146,970,2,3,130000
147,875,1,2,105000
148,884,2,3,222500
